rep,f1,recall,precision,f1_pathway,recall_pathway,precision_pathway,f1_superclass,recall_superclass,precision_superclass,f1_class,recall_class,precision_class
0,0.7929164441645943,0.7863299613856666,0.8270395301072349,0.9736681142059346,0.95,0.9999678083955704,0.8792148638952909,0.8599832551175006,0.9172225617487229,0.7820199139558917,0.7768185030298328,0.8159766844188234
1,0.7929619110167409,0.7898020753877709,0.8275903443837992,1.0,1.0,1.0,0.8858924976105924,0.8783066876762704,0.9045541098102501,0.78137745167823,0.7787022285537338,0.818035421027374
2,0.7942035060360688,0.7858180312293535,0.8333245653936363,0.9545132587952936,0.9999356126456764,0.9166666666666667,0.8762571512766453,0.8582558520210039,0.9069529189527662,0.7838316414484117,0.7763860861153916,0.8242647382876378
3,0.7957409606137532,0.7883146288253057,0.8314495977276404,1.0,1.0,1.0,0.8894676079183397,0.8734030340693094,0.917257227932338,0.7841259436565113,0.7777027120008281,0.8208920611226984
4,0.791546084647188,0.7854333127649782,0.827713229112338,1.0,1.0,1.0,0.8903765705361042,0.8764970959824339,0.9153639066930757,0.77928828816055,0.7740017890128297,0.8169786127046433
