rep,f1,recall,precision,f1_pathway,recall_pathway,precision_pathway,f1_superclass,recall_superclass,precision_superclass,f1_class,recall_class,precision_class
0,0.9300567831649168,0.9165577934595656,0.9529342976061518,1.0,1.0,1.0,0.959173913459384,0.9455369849017504,0.9770318473393922,0.9263337704036728,0.9126851147427482,0.9500116648845468
1,0.9315043801583156,0.918169094096927,0.9536896561940398,1.0,1.0,1.0,0.9589260985232296,0.9463163279859146,0.975354580238441,0.9279734079366732,0.9144119284420856,0.9510175040967758
2,0.9322536063526466,0.9188844455841298,0.9553434383070978,1.0,1.0,1.0,0.9594875861087032,0.9477140185006062,0.974946047200153,0.9287391406639768,0.9150564326805052,0.9528924214500256
3,0.9278872265281818,0.9135839531416474,0.9517585850307084,1.0,1.0,1.0,0.9583054058184324,0.9456483779019385,0.9749858515659702,0.9240041495844272,0.9093362073549645,0.9489329618427726
4,0.931220953271022,0.9176296940954664,0.9541310307504022,1.0,1.0,1.0,0.9612303899462995,0.9489382458749394,0.9774215280764811,0.9274138242802428,0.9135186197605689,0.9513054879404063
