rep,f1,recall,precision,f1_pathway,recall_pathway,precision_pathway,f1_superclass,recall_superclass,precision_superclass,f1_class,recall_class,precision_class
0,0.7915627974016252,0.7591303334360415,0.8562910571308165,0.9736681142059346,0.95,0.9999678083955704,0.8569790209263125,0.8186563354619285,0.9074342473831329,0.782969282524418,0.7508921120971762,0.8498444453108482
1,0.7859981796181379,0.754653770590068,0.8522727101867466,0.9736681142059346,0.95,0.9999678083955704,0.8539394082841548,0.8208325867625385,0.9039238129940681,0.7770961556522481,0.7456188868432384,0.8458100598273199
2,0.784118371774735,0.7433491054460546,0.8651921763587063,0.9444122528400148,0.9,0.9999356209360716,0.853241503675099,0.8116352273970563,0.9158849313542828,0.7750270682162201,0.7339238225944335,0.8589318671546747
3,0.7832949310160885,0.7474304895756176,0.8533780321643881,0.9499678063228383,0.9499678063228383,0.9499678063228383,0.8630923108810832,0.8248042900720581,0.9162459602380048,0.7730577299172173,0.7371177324486083,0.8456557988798646
4,0.7831518982856467,0.7502405909766543,0.8494048736291925,1.0,1.0,1.0,0.8642203181272551,0.8302832594871018,0.9119855395498773,0.7727739055583687,0.7396443452067367,0.8416922191758309
