rep,f1,recall,precision,f1_pathway,recall_pathway,precision_pathway,f1_superclass,recall_superclass,precision_superclass,f1_class,recall_class,precision_class
0,0.793842424539939,0.7692988587481101,0.8813669213555159,1.0,1.0,1.0,0.49597506329122315,0.4570942838186688,0.7004747176252727,0.833277431834148,0.8102766244075926,0.9044727151023247
1,0.7910488834916954,0.7653972677417125,0.8803508146524642,1.0,1.0,1.0,0.50672343193241,0.4683669352184499,0.7083948817501138,0.8289422656356265,0.804675677255919,0.9022427466766485
2,0.797517856812737,0.7749458054152979,0.8723543419438425,1.0,1.0,1.0,0.5268403984396952,0.49069334166400946,0.6948662527372985,0.8340729052968278,0.8129852727636869,0.8960566640495619
3,0.787263146657161,0.7616141369222489,0.8780512854026923,1.0,1.0,1.0,0.4990940831916597,0.4550962532691693,0.6988082001653214,0.8255879919452378,0.8018999248755655,0.9009447548827773
4,0.7925806018745717,0.766886550545633,0.8776221404782303,1.0,1.0,1.0,0.5088108084469547,0.4738853072548896,0.6721129105944212,0.8304969927377558,0.8057829957971717,0.9035308617869717
