rep,f1,recall,precision,f1_pathway,recall_pathway,precision_pathway,f1_superclass,recall_superclass,precision_superclass,f1_class,recall_class,precision_class
0,0.7669387420851191,0.7414616607240853,0.8397106339198009,1.0,1.0,1.0,0.8596861975792378,0.8393363244129306,0.8944462861759092,0.7552324511645772,0.7290296161188659,0.8327335006018215
1,0.7361980239279058,0.6984991741666565,0.828762395055516,1.0,1.0,1.0,0.8362825592343887,0.7929563143787767,0.9060387299347722,0.7234073026508494,0.6859797005446299,0.8193204111267611
2,0.7695070452063771,0.740572728636165,0.8437011438964602,1.0,1.0,1.0,0.8492715942935956,0.8228117370853969,0.9002836489411314,0.7592163605815915,0.7296017840399889,0.8367699728532542
3,0.7581729118128989,0.7415254545827112,0.8216645680111775,1.0,1.0,1.0,0.8500705880246999,0.8426273092509348,0.8824052483911095,0.7464467323752588,0.7285432616928043,0.8140254327598823
4,0.7696107583349365,0.7460390745939776,0.8402024700726006,1.0,1.0,1.0,0.8593943058121258,0.8315689656303218,0.9052866544775042,0.7583028867897038,0.7350435774342414,0.8321329545198044
