rep,f1,recall,precision,f1_pathway,recall_pathway,precision_pathway,f1_superclass,recall_superclass,precision_superclass,f1_class,recall_class,precision_class
0,0.9246087326593948,0.9121423730889532,0.9458319713740746,1.0,1.0,1.0,0.9481516446939403,0.9381243251153937,0.9623151512011833,0.9215795170571495,0.9085824263552547,0.9439128999570598
1,0.926040530133031,0.9131584415718011,0.947088467915148,1.0,1.0,1.0,0.9469367933788243,0.9353587929253248,0.9629042489992423,0.9233155875300155,0.9100341290019188,0.9452470436626261
2,0.923184112230259,0.9102427999375828,0.9448248251582558,1.0,1.0,1.0,0.948273651741863,0.9364428662792493,0.9651754531453873,0.9199621075902584,0.906650169338989,0.9424487911850915
3,0.9257745886885238,0.9129591201907816,0.9476476209833763,1.0,1.0,1.0,0.9494609715610165,0.9390172354125078,0.9638435030812531,0.9227328299128634,0.9094141542798565,0.9457478070731704
4,0.9249540288553458,0.9127944083132433,0.9453353714020171,1.0,1.0,1.0,0.9483798474144948,0.9376010521224345,0.9632989933433844,0.9219627403453377,0.9094137889181427,0.9432519287127829
