rep,f1,recall,precision
0,0.7669651297535468,0.7347366518206686,0.8481386045699789
1,0.7398968556546976,0.6984285223523844,0.8350513340472155
2,0.7691504407165415,0.7363019978866651,0.8493522076313083
3,0.7531781556697994,0.7360879594226034,0.8199715962295925
4,0.764232559933555,0.7383805536438387,0.8346570668984302
