fold,f1_score,precision_score,recall_score,wF1,wPrecision,wRecall,rep
0,0.45150684853065803,0.4719671201814059,0.4762377173091459,0.5004764423717042,0.5535031468946681,0.5037406483790524,0
1,0.380241496962201,0.3839332583427072,0.4203693288338957,0.4386134165438588,0.4528675703858186,0.4744525547445255,0
2,0.41685240239457105,0.43343156174481473,0.44310575635876837,0.48464631998466584,0.5168869142553353,0.5012531328320802,0
3,0.4641142857142857,0.47526666666666667,0.492,0.5106840705825476,0.5352368866328256,0.5279187817258884,0
4,0.42757761951310336,0.4446236559139785,0.4495007680491552,0.4668328858202276,0.5103375527426159,0.4759493670886076,0
0,0.45621336669205204,0.45353769037979563,0.5030364372469636,0.5147614920441961,0.5252724472873727,0.5497512437810945,1
1,0.4663229601604951,0.4734126984126984,0.5070389266817839,0.5089383355950743,0.5334599156118144,0.5341772151898734,1
2,0.4339720483146777,0.44289982925441096,0.47097324985771205,0.47424603174603175,0.4975446428571429,0.4975,1
3,0.4155128313951843,0.4160597572362278,0.4689542483660131,0.4636393552247211,0.48109175377468055,0.4975609756097561,1
4,0.41896623376623376,0.42867619047619043,0.4556190476190476,0.4577296042944898,0.49030049678904636,0.4758269720101781,1
0,0.4218253968253969,0.43000387146728614,0.4497193186217576,0.4641025641025641,0.48440860215053755,0.4813895781637717,2
1,0.4263128176171654,0.4274844720496894,0.4656032373423678,0.47603020121268297,0.49069922372842084,0.5060827250608273,2
2,0.4995858472236425,0.4841207349081365,0.5649606299212598,0.5299150638391145,0.5299578059071729,0.579746835443038,2
3,0.43317949686997304,0.45912956091527524,0.4527116402116402,0.4796949612543672,0.5193653293900818,0.4900990099009901,2
4,0.4431915587786033,0.44098708309234624,0.4842394447657606,0.505478572532836,0.5132890365448505,0.5400516795865633,2
0,0.40951226551226544,0.4128666666666666,0.44995238095238094,0.4498021691570078,0.4713399503722084,0.47642679900744417,3
1,0.45333510575446057,0.45664362519201224,0.48665514592933945,0.4916655361099806,0.5030511463844797,0.5185185185185185,3
2,0.42125603864734296,0.4259552042160738,0.46047430830039526,0.46367718303202177,0.4853598014888338,0.48883374689826303,3
3,0.4685695446651622,0.47619047619047616,0.5040314930753178,0.5066205988316541,0.5349066762383345,0.5201005025125628,3
4,0.4193694312741932,0.4179327286470143,0.4572467876039305,0.46003181246148,0.47089270490805013,0.4859335038363171,3
0,0.4572632747829598,0.4696194225721785,0.49236032995875517,0.4867788558628254,0.5235368956743003,0.5089058524173028,4
1,0.4621661627614009,0.46448412698412705,0.503968253968254,0.5056616375923306,0.5175742574257425,0.5396039603960396,4
2,0.4044796791784744,0.4243762930509918,0.42503346720214186,0.4545761645761645,0.49578088578088575,0.46153846153846156,4
3,0.4062302556350175,0.42445200302343156,0.4307445200302343,0.47162868837806804,0.5100555358619875,0.4813895781637717,4
4,0.44070480009530333,0.44976094855612925,0.4805890227576975,0.5042431106276156,0.5281533101045296,0.5317073170731708,4
