fold,f1_score,precision_score,recall_score,wF1,wPrecision,wRecall,rep
0,0.5312475016820011,0.6807892747742372,0.47420221527773015,0.6387644642240119,0.7992223433428677,0.5762081784386617,0
1,0.49413358421497316,0.6519078144078144,0.4300729544207804,0.6038523893628218,0.765396756021756,0.5303030303030303,0
2,0.5223893353823231,0.6969992997198879,0.4561280117670277,0.6097166874709686,0.7709278050842979,0.5433962264150943,0
3,0.5415191319059056,0.7423179160021265,0.46486098658524283,0.6016039595114214,0.8082603861028931,0.5229007633587787,0
4,0.520965630616932,0.6436766735679779,0.46752871551825465,0.6321697740891215,0.7948554421768708,0.5714285714285714,0
0,0.5018872267104457,0.6336601307189542,0.43988482235621823,0.6347446532044294,0.774862596553773,0.5606060606060606,1
1,0.5084146520983391,0.6753175424759276,0.43601399956091036,0.6015439147916725,0.7826557352500749,0.5245283018867924,1
2,0.5151176819527931,0.65112170067389,0.4482029611810585,0.6031452821558521,0.7487430376180996,0.5315985130111525,1
3,0.5448459966737278,0.8218814080656186,0.4702068511198946,0.6113026183112773,0.8942746600341157,0.5437262357414449,1
4,0.5682746856887235,0.7715032679738562,0.4967652678493639,0.6346514063789055,0.8081440374892096,0.5622641509433962,1
0,0.5233196730843286,0.7252731395588539,0.4436172777133875,0.587634663926384,0.7822995412547651,0.5074626865671642,2
1,0.5201820689047236,0.6609781593796938,0.4636423005759391,0.6301529275869281,0.8040662206360474,0.55893536121673,2
2,0.5494199047680541,0.763034420289855,0.47766031641889767,0.6249297491751654,0.8683599945310364,0.5547169811320755,2
3,0.5267340141798347,0.7107351712614871,0.4588700671309366,0.620715782241397,0.8254693337116377,0.5471698113207547,2
4,0.49045676054503956,0.6268434666356661,0.4252927994964608,0.5970812623884832,0.7238117067992087,0.5283018867924528,2
0,0.5451167807880648,0.6940424430641822,0.4740958157657242,0.6100278123363554,0.7357763199727049,0.5430711610486891,3
1,0.5205271160957705,0.6467309145880574,0.4646736279230559,0.6261671798980311,0.7658880471380471,0.5643939393939394,3
2,0.5662047465780938,0.759703881552621,0.4866452557528072,0.6467906143083043,0.860185272610917,0.5580524344569289,3
3,0.5334777126424481,0.7293650793650794,0.45651092868484167,0.5994857386834105,0.7664270739742438,0.5245283018867924,3
4,0.4944023718890641,0.627040552040552,0.43650740733120597,0.6096015085767406,0.7790269616315243,0.5361216730038023,3
0,0.5071281740846506,0.6775634496222731,0.4571068837087144,0.6061889435579413,0.775401907174353,0.556390977443609,4
1,0.51005714144012,0.670654761904762,0.4457839262187089,0.6066511221950804,0.7599730458221025,0.5358490566037736,4
2,0.579904305854212,0.7889510541058529,0.49299692222346686,0.6527654585792523,0.8397263007664542,0.5665399239543726,4
3,0.5111177029814696,0.6448412698412698,0.44158705774266416,0.623797852793713,0.7991854636591478,0.5338345864661654,4
4,0.5194005802782344,0.6926853569710713,0.45533061571145905,0.6146124730299288,0.8020513947205676,0.5413533834586466,4
