fold,f1_score,precision_score,recall_score,rep
0,0.7714327613537099,0.8268625314079859,0.7414917098711565,0
1,0.8116374590063873,0.8952373384191566,0.7754295704295704,0
2,0.7956682696115247,0.8384046350004848,0.7719093960497122,0
3,0.8023171108737667,0.8667221667221668,0.7735891044981954,0
4,0.8191458913143991,0.8671618440039491,0.7870843981812361,0
0,0.8272314011632772,0.8394081717945355,0.8191734805964054,1
1,0.8205929546000573,0.8619668967396241,0.7898600725873454,1
2,0.7984683298553218,0.845348634676698,0.7711043586043587,1
3,0.830625762236728,0.8505119880119879,0.8163919051962529,1
4,0.7722562440675894,0.840999606454152,0.7345499461013294,1
0,0.864785235674011,0.8775958533445164,0.8557792207792208,2
1,0.8346101394338438,0.8529975916339553,0.8358519298736692,2
2,0.7781920001630301,0.8296640648913378,0.7398912451185179,2
3,0.8098902210219138,0.884719113328739,0.7701316521276996,2
4,0.7788249675550429,0.813082867867557,0.7615680707083871,2
0,0.8359142862527765,0.8674557260920899,0.8128439153439154,3
1,0.8311916537777634,0.8509805346168983,0.8205795383068111,3
2,0.8173222219015344,0.8895339199166951,0.7768043444624472,3
3,0.8194501124039385,0.8752180638936126,0.7843456938318597,3
4,0.7887013245498534,0.8514789963453065,0.7472455212771418,3
0,0.8127860256256313,0.88255772005772,0.7753294663176086,4
1,0.7640354226409877,0.8087922935650208,0.7332461148864311,4
2,0.7969834757964471,0.8583971185645827,0.7748905807996717,4
3,0.8406928875188101,0.8924586776859503,0.8118864106907586,4
4,0.8365198391499288,0.8833451060723788,0.8029410404410405,4
