compound_id,smiles
Man10GlcNAc2-proteins,CC(N[C@H]%12(C(NC(=O)C[C@H](N[a protein])C([a protein])=O)O[C@H](CO)[C@@H](O[C@H]%11([C@H](NC(=O)C)[C@H]([C@H](O[C@H]1([C@@H](O)[C@H]([C@H](O)[C@H](O1)CO[C@@H]2([C@@H](O)[C@H]([C@H](O)[C@H](O2)CO[C@H]3(O[C@@H]([C@H]([C@@H]([C@@H]3O[C@@H]4([C@H]([C@@H](O)[C@H](O)[C@@H](CO)O4)O))O)O)CO))O[C@@H]6([C@@H](O)[C@H]([C@H](O)[C@@H](CO[C@@H]5([C@@H](O)[C@H]([C@H](O)[C@@H](CO)O5)O))O6)O)))O[C@@H]9([C@@H](O[C@@H]8([C@@H](O[C@@H]7([C@@H](O)[C@H]([C@H](O)[C@@H](CO)O7)O))[C@H]([C@H](O)[C@H](O8)CO)O))[C@@H](O)[C@@H]([C@H](O9)CO[C@@H]%10([C@@H](O)[C@H]([C@H](O)[C@@H](CO)O%10)O))O)))[C@@H](CO)O%11)O))[C@H](O)%12))=O
3-alpha-Hydroxysteroids,CC34(CCC2(C(CCC1(C[C@H](O)CCC(C)12))C(CCC([R])3)4))
ACTINOMYCIN,CC2(\C3(\OC1(\C(/C(/C(=O)N[R2])=C(C(=O)C(\C)=1)/N)=N/C(\C(\C(=O)N[R1])=C/C=2)=3)))
Delta-Lactams,C1([R4])(N([R5])C(=O)C([R1])C([R2])C([R3])1)
3-HYDROXY-ISOBUTYRYL-COA,CC(C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-])CO
beta-Gal-13-beta-Gal-R,C(O)[C@@H]2([C@H](O)[C@H](O)[C@@H](O)[C@H](O[C@@H]1([C@@H](O)[C@H](O[R])O[C@H](CO)[C@@H]1O))O2)
mRNA-Containing-N1-Methyladenine,CN1(C(C2(\N=C/N(C(\N=C/1)=2)[C@@H]3(O[C@H](COP(=O)([O-])O[an mRNA])[C@@H](OP(=O)(O[an mRNA])[O-])[C@@H](O)3)))=N)
CPD-18567,C([R5])CCCCCCCCCCCCCC(O[C@@H]1([C@H]([C@@H]([C@H](O[C@@H]1O[C@H]2(O[C@@H]([C@H]([C@@H]([C@H]2OC(=O)C(\C)=C/[C@@H](C)C[C@@H](C)CCCCCCCCCCCCCCCCC[R4])O)OC(=O)C(\C)=C/[C@@H](C)C[C@@H](C)CCCCCCCCCCCCCCCCC[R1])CO))COC(=O)C(\C)=C/[C@@H](C)C[C@@H](C)CCCCCCCCCCCCCCCCC[R3])O)OC(=O)C(\C)=C/[C@@H](C)C[C@@H](C)CCCCCCCCCCCCCCCCC[R2]))=O
Phycocyanobilins,C/C=C1([C@@H](C)C(NC\1=C/C4(/NC(/C=C3(C(/CCC([O-])=O)=C(C)/C(\C=C2(C(/C)=C(CC)/C(=O)N2))=N\3))=C(CCC([O-])=O)/C(\C)=4))=O)
N-Ac-L-methionyl-L-asparaginyl-Protein,CC(=O)N[C@@H](CCSC)C(=O)N[C@H](C(=O)[a protein])CC(N)=O
tRNA-with-5-taurinomethyl-2-thiouridine,C(S(=O)(=O)[O-])CCNC1(\C(=O)NC(=S)N(/C=1)[C@@H]2(O[C@H](COP(=O)([O-])O[a tRNA])[C@@H](OP(=O)(O[a tRNA])[O-])[C@@H](O)2))
ANDROSTAN-3-ALPHA17-BETA-DIOL,C[C@@]24(CC[C@@H](O)CC(CC[C@H]1([C@@H]3(CC[C@H](O)[C@@](C)(CC[C@@H]12)3)))4)
Tetramethylated-Mycocerosic-Acids,C(CCCCCCCCCCCC[C@@H](C)C[C@@H](C)C[C@@H](C)C[C@@H](C)C([O-])=O)[R]
N4-Methylcytosine-Containing-rRNAs,CNC1(\C=C/N(C(/N=1)=O)[C@@H]2(O[C@H](COP(=O)([O-])O[rRNA])[C@@H](OP(=O)(O[rRNA])[O-])[C@@H](O)2))
Adenine-In-Double-Stranded-RNAs,C(OP(=O)([O-])O[a double-stranded RNA])[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](OP(=O)(O[a double-stranded RNA])[O-])3)
CPD-409,C(O)C(CO)OC(=O)[R]
Guanine37-in-tRNA,C(OP(=O)([O-])O[a tRNA])[C@H]3(O[C@@H](N1(C2(\N=C(N)/NC(=O)C(\N=C/1)=2)))[C@H](O)[C@H](OP(=O)(O[a tRNA])[O-])3)
SgcC2-3-chloro-5-hydroxy-beta-tyrosine,CC(C)(COP(=O)([O-])OC[C@H](N[a peptidyl-carrier protein])C(=O)[a peptidyl-carrier protein])[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)C[C@@H](C1(\C=C(C(\O)=C(/C=1)\Cl)\O))[NH3+]
Basic-Amino-Acids,[C@@H]([NH3+])([R])C([O-])=O
TAG-18-2-36-6s,C(OC([R3])=O)[C@H](OC([R2])=O)COC([R1])=O
CPD0-1950,CCCC(C(=O)[O-])[NH3+]
PECTATE,C([O-])(=O)[C@@H]1([C@@H]([C@@H]([C@H]([C@H](O1)O[C@H]3([C@@H](C([O-])=O)O[C@H](O[C@H]2([C@@H](C([O-])=O)O[C@H]([R2])[C@@H]([C@H]2O)O))[C@@H]([C@H]3O)O))O)O)[R1])
Thio-Ethers,S([R])[R]
L-gulopyranose,C(O)[C@H]1([C@@H](O)[C@H](O)[C@H](O)C(O)O1)
1-ALKENYL-2-ACYLGLYCEROL,C(/[R1])=C\OC[C@@H](OC([R2])=O)CO
CPD-16348,CCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)SCCNC(=O)CCNC([C@H](O)C(C)(C)COP([O-])(=O)OP([O-])(=O)OC[C@@H]1([C@@H](OP(=O)([O-])[O-])[C@@H](O)[C@@H](O1)N2(\C=N/C3(C(/N)=N\C=N/C2=3))))=O
2-Oxo-Acids,C(=O)([R])C(=O)[O-]
Phthiotriols,C([R2])CCCCCCCCCCCCCC[C@@H](O)C[C@H](O)CCCC[C@H](C)[C@H](O)C[R1]
tRNA-Holder,C(OP(O[C@H]2([C@@H](O)[C@H]([a nucleobase])O[C@H](COP(O[C@H]1([C@@H](O)[C@H]([a nucleobase])O[C@H](COP(O[R1])([O-])=O)1))([O-])=O)2))([O-])=O)[C@H]3(O[C@@H]([a nucleobase])[C@H](O)[C@H](O[R2])3)
Long-Chain-3S-Hydroxyacyl-CoAs,C(CCCCCCCCC[C@H](O)CC(SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@H]1(O[C@H]([C@@H]([C@@H]1OP([O-])(=O)[O-])O)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-])=O)[R]
Sphingoid-1-phosphates,[C@H](O)([R])[C@@H]([NH3+])COP([O-])(=O)[O-]
Lipid-sterculate,CCCCCCCCC1(CC(CCCCCCCC([a phospholipid])=O)=1)
CPD-18683,C(CCCCCCCCCCCC[C@@H]([R4])C[C@@H](C)C[C@@H](C)C[C@@H](C)C(O[C@H](CCCCCCCCCCCCC[R2]C4(\C=C/C(/O[C@@H]3(O[C@@H](C)[C@H](O)[C@@H](O[C@@H]2(O[C@@H](C)[C@H](O)[C@@H](O[C@@H]1(O[C@@H](C)[C@@H](O)[C@@H](O)[C@H](OC)1))[C@@H](O)2))[C@@H](OC)3))=C\C=4))C[C@H](OC(=O)[C@H](C)C[C@H](C)C[C@H](C)C[C@H]([R3])CCCCCCCCCCCCC[R5])CCCC[C@H](C)[C@H](OC)C[R1])=O)[R6]
CPD-20973,COC3(\C(\O)=C/C=C(CC2(C(CO)C(C1(\C=C/C(/O)=C(/C=1)/OC))OC2))\C=3)
Trimethylated-Mycocerosic-Acids,C(CCCCCCCCCCCCCC[C@@H](C)C[C@@H](C)C[C@@H](C)C([O-])=O)[R]
GALACTOSYL-BETA-GALACTOSAMINYL-R,CC(=O)N[C@H]3([C@H](OC[C@@H]2([C@H](O)[C@H](O[C@@H]1(O[C@H](CO)[C@H](O)[C@H](O)[C@@H](O)1))[C@@H](NC(C)=O)[C@H](O2)O[R]))O[C@H](CO)[C@@H](O)[C@H](O)3)
5678-TETRAHYDROPTERIDINE,C([R])C(O)C(O)[C@H]2(CNC1(\C(C(\N=C(N)/N=1)=O)N2))
Cerebrosides,C(O)[C@@H]1(C(O)[C@H](O)[C@@H](O)[C@@H](O1)OC[C@H](NC(=O)[R2])[C@H](O)[R1])
17-beta-Hydroxysteroids,CC24(CCCCC(CCC1(C3(CC[C@H](O)C(C)(CCC12)3)))4)
CPD-10072,C=C(C)[C@@H](CCC(C)C(=O)[O-])CO
Aromatic-Amino-Acids,C([NH3+])([R])C(=O)[O-]
CPD-624,C(OP([O-])(=O)[O-])[C@@H](O)[C@@H](O)[C@H]1(C(NC(=O)[R])[C@@H](O)CC(C(=O)[O-])(O)O1)
CPD-8592,C([O-])(=O)[C@H]1(O[C@@H](O[chondroitin])[C@H](O)[C@H]([C@@H]1O)O)
L-methionyl-L-leucyl-Protein,CC(C)C[C@H](NC(=O)[C@@H]([NH3+])CCSC)C(=O)[a protein]
Adenosylcobamide,C[C@H]2(OP([O-])(O[C@H]1([C@@H](O)[C@H](O[C@H](CO)1)O[a cobamide lower ligand][Co-3]578([N+]%10(/[C@]3(C)([C@@](C)(CC(N)=O)[C@H](CCC(=O)N)C(\C(/C)=C9([C@@](CC(=O)N)([C@H](CCC(N)=O)C(\C=C6(C(C)(C)[C@H](CCC(N)=O)C(\C(/C)=C4([C@](CCC(NC2)=O)([C@@H](CC(N)=O)[C@H]3N45)C))=[N+]6\7))=[N+]89)C))=%10)))(C[C@@H]%11([C@H]([C@@H](O)[C@@H](O%11)N%12(\C=N/C%13(\C/%12=N/C=N\C(/N)=%13)))O))))=O)
3-AMINO-6-ACETAMIDOHEXANOATE,CC(=O)NCCCC([NH3+])CC(=O)[O-]
SgcC2-beta-tyrosine,CC(C)(COP(=O)([O-])OC[C@H](N[a peptidyl-carrier protein])C(=O)[a peptidyl-carrier protein])[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)C[C@@H](C1(\C=C/C(/O)=C\C=1))[NH3+]
Mannosyl3-N-acetyl-glucosamine2-R,CC(=O)N[C@H]3([C@H](O[C@@H]1([C@H](O)[C@H](O[R])O[C@@H]([C@@H](O)1)CO[C@H]2(O[C@@H](C(O)C(O)[C@H](O)2)CO)))O[C@H](CO)[C@@H](O)[C@H](O)3)
TAG-18-3-32-1s,C(OC([R3])=O)[C@H](OC([R2])=O)COC([R1])=O
Alpha-hydroxynitriles,C(#N)[R]
Protein-3-Hydroxy-L-Arginines,C(NC(N)=[NH2+])C[C@@H](O)[C@@H](C(=O)[a protein])N[a protein]
Ibuprofen,CC(C)CC1(\C=C/C(C(C)C([O-])=O)=C\C=1)
Alkenes,C([R4])([R3])=C([R2])[R1]
Hexose-1-Phosphate,C(O)C1(OC(OP([O-])(=O)[O-])C(O)C(O)C(O)1)
Long-Chain-Polyphosphate,O(P(=O)([O-])OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[R]
Citronellates,CC(C)=CCCC(C)CC(=O)[O-]
Linoleate-containing-TGs,C([C@H](OC([R2])=O)COC(=O)[R1])OC([R3])=O
Donor-H2,[an oxidized electron carrier]
