compound_id,smiles
5-Methylcytosine-49-tRNAs,CC1(\C(\N)=N/C(=O)N(\C=1)[C@@H]2(O[C@H](COP(=O)([O-])O[a tRNA])[C@@H](OP(=O)(O[a tRNA])[O-])[C@@H](O)2))
CPD-17292,CC\C=C/C\C=C/C\C=C/CCCCCC(=O)[a glycerolipid]
3alpha-hydroxysteroyl-CoA,C[C@H](CCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-])C5(CCC6(C7(CCC4(C[C@H](O)CCC(C)4C(CCC(C)56)7))))
Methoxybenzenes,COC1(\C(/[R1])=C([R2])/C(\[R3])=C([R4])\C(/[R5])=1)
Jasmonoyl-Isoleucines,CC\C=C/CC1(C(=O)CCC1CC(N[C@@H]([C@@H](C)CC)C([O-])=O)=O)
TAG-18-3-34-2s,C(OC([R3])=O)[C@H](OC([R2])=O)COC([R1])=O
TAG-18-3-38-2s,C(OC([R3])=O)[C@H](OC([R2])=O)COC([R1])=O
16S-rRNA-N2-methylguanine1207,CNC1(NC(=O)C2(\N=C/N(C(N=1)=2)[C@@H]3(O[C@H](COP(=O)([O-])O[a 16S rRNA])[C@@H](OP(=O)(O[a 16S rRNA])[O-])[C@@H](O)3)))
Dolichol-PP,CC(C)=CCCC(\C)=C/CCC(\C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(CCOP(OP([O-])([O-])=O)([O-])=O)C
Poly-3-hydroxyoctanoate,C([O-])(=O)C[C@@H](CCCCC)OC(=O)C[C@@H](CCCCC)OC(=O)C[C@H](O[R])CCCCC
Eicosadienoates,CCCCC\C=C/C\C=C/CCCCCCCCCC(=O)[O-]
Non-Glycosylated-sugar-Acceptors,O[R]
N-Acetoxy-Arylamines,CC(=O)ONC1(\C(/[R5])=C([R4])/C(\[R3])=C([R2])\C(/[R1])=1)
9-Methyl-sphing-4-8-dienine-ceramides,CCCCCCCCCC(\C)=C/CC/C=C/[C@H]([C@@H](NC(=O)[R])CO)O
Ribonucleoside-Diphosphates,C(OP(=O)(OP(=O)([O-])[O-])[O-])[C@@H]1([C@@H](O)[C@@H](O)[C@H]([a nucleobase])O1)
Non-Glucur-Glucuronoside-Acceptors,[R]
DNA-purines,C(OP(=O)([O-])O[a deoxyribonucleic acid])[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C([R2])/N=C([R1])\N=2)))C[C@H](OP(=O)(O[a deoxyribonucleic acid])[O-])3)
CPD-15709,C(O)C(=O)[C@@H](O)[C@@H]([C@H](O)COP([O-])(=O)[O-])O
3-ACYLOXYACYL-GROUP-OF-BACTERIAL-TOXIN,C([R2])CC[C@H](CC(=O)[R1])OC(=O)CCC[R3]
CPD-10198,CC1(C(=O)C(/O)=C(C)\O1)
Dipeptides-With-Hist-C-Terminal-Position,[C@H]([NH3+])([R])C(=O)N[C@@H](CC1(\N=C/N\C=1))C(=O)[O-]
5-Methylcytosine-38-in-tRNAs,CC1(\C(\N)=N/C(=O)N(\C=1)[C@@H]2(O[C@H](COP(=O)([O-])O[a tRNA])[C@@H](OP(=O)(O[a tRNA])[O-])[C@@H](O)2))
Dimethoxylariciresinol,COC3(\C(\O)=C(\C=C(CC2(C(CO)C(C1(\C=C(C(\O)=C(/C=1)\OC)\OC))OC2))/C=3)\OC)
N-Ac-L-methionyl-L-threonyl-Protein,C[C@@H](O)[C@H](NC(=O)[C@@H](NC(=O)C)CCSC)C(=O)[a protein]
11-Hydroxyjasmonates,CC(O)\C=C/CC1(C(=O)CCC1CC([O-])=O)
GalNAc-GlcA-GalNAc-GlcA-Gal-Gal-Xyl-Pr,CC(=O)N[C@H]7([C@H](O[C@H]6([C@H](O)[C@@H](O)[C@H](O[C@@H]5([C@@H](NC(=O)C)[C@H](O[C@H]1([C@H](O)[C@@H](O)[C@@H](O[C@H](C(=O)[O-])1)O[C@@H]4([C@@H](O)[C@H](O[C@@H]3([C@@H](O)[C@H](O[C@H]2([C@H](O)[C@@H](O)[C@H](OC[C@H](N[a protein])C(=O)[a protein])OC2))O[C@H](CO)[C@H](O)3))O[C@H](CO)[C@H](O)4)))O[C@H](CO)[C@H](O)5))O[C@H](C(=O)[O-])6))O[C@H](CO)[C@H](O)[C@H](O)7)
CPD-17677,C2(\C=C/C(C1(CC(N)1))=C\C=2)
HYDROXYMETHYLCEPH-3-EM-4-CARBOXYLATE,C2(SC1(N(C(=O)[C@@]([R])(NC(=O)[R])1)C(/C(=O)O)=C(CO)/2))
7-hydroxy-bacteriochlorophyllide-d,C([R2])([R1])CC1(/C2(\C=C7(C(\C[R3])=C3(C4(\N([Mg]N6(C(\C=C(C(/CO)=1)/N=2)=C(C(/C)=C(\C=C5([C@@H](C)[C@H](CCC(=O)[O-])C(\C(/[CH-]C(=O)3)=4)=N5))/6)/C(O)C))7)))))
CPD-11933,C1(OP([O-])(=O)[O-])(C(OP(=O)([O-])[O-])C(OP(=O)([O-])[O-])C(OP([O-])(=O)OP(=O)([O-])[O-])C(OP([O-])(=O)[O-])C(OP([O-])(=O)[O-])1)
DNA-Ligase-L-lysine-guanylate,C(NP(OC[C@@H]3([C@H]([C@H]([C@H](N1(C2(\N=C(N)/NC(C(\N=C/1)=2)=O)))O3)O)O))([O-])=O)CCC[C@@H](C(=O)[a DNA ligase])N[a DNA ligase]
Sphinga-4-8-dienine-Ceramides,CCCCCCCCC/C=C/CC/C=C/[C@@H](O)[C@@H](NC(=O)[R])CO
DIHYDRO-SPHINGOSINE,C([R])CCCCCCCCCCCCCCC(C(CO)[NH3+])O
Sulfones,O=S([R1])([R2])=O
tRNAs-Hypoxanthines,C(OP(=O)([O-])O[a tRNA])[C@H]3(O[C@@H](N1(C2(\N=C/NC(=O)C(\N=C/1)=2)))[C@H](O)[C@H](OP(=O)(O[a tRNA])[O-])3)
DNA-containing-diamino-hydro-formamidops,CN(C=O)C4(\C(=O)NC(/N)=N/C(\NC3(O[C@H](COP(=O)([O-])O[C@H]1(C[C@H]([a nucleobase])O[C@H](COP(O[a deoxyribonucleic acid])(=O)[O-])1))[C@@H](OP([O-])(=O)OC[C@H]2(O[C@@H]([a nucleobase])C[C@H](OP(=O)([O-])O[a deoxyribonucleic acid])2))C3))=4)
23S-rRNA-adenine-2030,C(OP(=O)([O-])O[a 23S rRNA])[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](OP(=O)(O[a 23S rRNA])[O-])3)
Alpha-L-Arabinosides,[C@@H]1(O[R])(OC[C@H](O)[C@H](O)[C@@H](O)1)
Jasmonates,C([R])\C=C/CC1(C(=O)CCC1CC([O-])=O)
Galactomannans,CC[C@@H]5([C@H](O)[C@H](O)[C@@H](O)[C@@H](OC[C@H]2(O[C@@H](O[C@@H]1([C@@H](CO)O[C@@H](O[R2])[C@@H](O)[C@@H](O)1))[C@@H](O)[C@@H](O)[C@@H]2O[C@@H]4(O[C@H](CO)[C@@H](O[C@@H]3(O[C@H](CO)[C@@H](O[R1])[C@H](O)[C@H](O)3))[C@H](O)[C@H](O)4)))O5)
CPD-12485,CNC(=O)N(C)C1(C(=O)N(C)C(=O)N1)
Odd-Straight-Chain-234-Sat-FA,C([R])CC([O-])=O
Alcohols,O[R]
RING-Ubiquitin-carrier-protein-E3-L-cys,C(=O)([a RING E3 ubiquitin-carrier protein])[C@@H](N[a RING E3 ubiquitin-carrier protein])CS
Mycoketide-Phosphates,C([R])CCCC[C@H](C)CCC[C@H](C)CCC[C@H](C)CCC[C@H](C)CCC[C@H](C)CCCOP([O-])(=O)[O-]
tRNA-containing-5-CarbMeAminome-2-methUr,CO[C@@H]2([C@H](OP(=O)(O[a tRNA])[O-])[C@@H](COP(=O)([O-])O[a tRNA])O[C@@H](N1(\C=C(CNCC([O-])=O)/C(=O)NC(=O)1))2)
Galactoglucomannans,C(O)[C@@H]5([C@H](O)[C@H](O)[C@@H](O)[C@@H](OC[C@@H]4([C@@H](O[C@@H]2(O[C@H](CO)[C@@H](O[C@@H]1(O[C@H](CO)[C@@H](O[R1])[C@H](O)[C@@H](O)1))[C@H](O)[C@@H](O)2))[C@H](O)[C@H](O)[C@H](O[C@H]3([C@H](O)[C@H](O)[C@H](O[R2])O[C@H](CO)3))O4))O5)
TAG-18-2-40-2s,C(OC([R3])=O)[C@H](OC([R2])=O)COC([R1])=O
Dihydro-Lipoyl-Proteins,C(NC(CCCC[C@@H](S)CCS)=O)CCC[C@@H](C(=O)[a [lipoyl-carrier protein]])N[a [lipoyl-carrier protein]]
GALACTOSYLCERAMIDE-SULFATE,C(O)[C@@H]1(C(O)[C@H](OS(=O)(=O)[O-])[C@@H](O)[C@@H](O1)OC[C@H](NC(=O)[R2])[C@H](O)[R1])
CPD-3602,C([C@H]4(O[C@@H](OC[C@@H]1([C@H]([C@@H]([C@H]([C@@H](O1)O[R2])O)O[C@H]2([C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O[C@H]3([C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O[R1])O))O))O))[C@@H]([C@H]([C@@H]4O)O)O))O
C-nitro-compounds,C([R])[N+](=O)[O-]
Xyloglucan-tetraose,C(O)[C@H]1(O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O[C@@H]3(O[C@H](CO[C@H]2(OC[C@@H](O)[C@H](O)[C@@H](O[R3])2))[C@H]([C@H](O)[C@@H](O)3)O[C@@H]5(O[C@H](CO[C@H]4(OC[C@@H](O)[C@H](O)[C@@H](O[R2])4))[C@H]([C@H](O)[C@@H](O)5)O[C@@H]7(O[C@H](CO[C@H]6(OC[C@@H](O)[C@H](O)[C@@H](O[R1])6))[C@@H](O)[C@H](O)[C@@H](O)7))))
3-N-3-carboxypropyl-uridine47-tRNAPhe,C(OP(=O)([O-])O[a tRNA<SUP>Phe</SUP>])[C@H]2(O[C@@H](N1(\C=C/C(=O)N(CC[C@@H](C([O-])=O)[NH3+])C(=O)1))[C@H](O)[C@H](OP(=O)(O[a tRNA<SUP>Phe</SUP>])[O-])2)
CPD-18579,C(CCCCCCCCCCCC[C@@H]([R4])C[C@@H](C)C[C@@H](C)C[C@@H](C)C(O[C@H](CCCCCCCCCCCCC[R2]C4(\C=C/C(/O[C@@H]3(O[C@@H](C)[C@H](O)[C@@H](O[C@@H]2(O[C@@H](C)[C@H](O)[C@@H](O[C@@H]1(O[C@@H](C)[C@@H](OC)[C@@H](OC)[C@H](OC)1))[C@@H](O)2))[C@@H](OC)3))=C\C=4))C[C@H](OC(=O)[C@H](C)C[C@H](C)C[C@H](C)C[C@H]([R3])CCCCCCCCCCCCC[R5])CCCC[C@H](C)[C@H](OC)C[R1])=O)[R6]
Steryl-Esters,CC34(CCC2(C(CCC1(CC(CCC(C)12)OC(=O)[R]))C(CCC([R])3)4))
Soyasapogenols,C[C@@]4(CC5(C2(\[C@]([C@@]1(CCC3([C@]([C@H](CC[C@](C1C\C=2)3C)O)(CO)C))C)(CC[C@@]([C@@H]([C@H]([R1])4)[R2])5C)C)))C
BCAA-dehydrogenase-DH-lipoyl,C([[branched chain &alpha;-keto acid dehydrogenase] lipoyl carrier component])C(=O)[C@H](CCCCNC(CCCCC(S)CCS)=O)N[[branched chain &alpha;-keto acid dehydrogenase] lipoyl carrier component]
Protein-Cysteine-Hemithioacetal,CC(=O)C(O)SC[C@@H](C(=O)[a protein])N[a protein]
Cellodextrins,[C@@H]1([R1])([C@H](O)[C@@H](O)[C@@H](O[C@H](CO)1)O[C@H]2([C@H](O)[C@@H](O)[C@@H](O[C@H](CO)2)O[C@H]3([C@H](O)[C@@H](O)[C@@H](O[C@H](CO)3)O[C@H]4([C@H](O)[C@@H](O)[C@H]([R2])O[C@H](CO)4))))
CPD-12092,CC(C)(COP(=O)([O-])OC[C@H](N[a non-ribosomal peptide synthase])C(=O)[a non-ribosomal peptide synthase])[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)[C@H](CS)[NH3+]
Paramylon,C([C@H]3(O[C@@H](O[C@@H]2([C@H]([C@H](O[C@H]1([C@@H]([C@H](O[C@H]([C@@H]1O)O[R2])CO)O))O[C@@H]([C@H]2O)CO)O))[C@@H]([C@H]([C@@H]3O)O[R1])O))O
Aromatic-Primary-Alcohols,C(O)[R]
3-HYDROXY-BUTYRATE,CC(O)CC([O-])=O
Hydroxy-Butyrates,CCC(O)C(=O)[O-]
Oxo-glutarate-dehydrogenase-lipoyl,C([[2-oxoglutarate dehydrogenase] lipoyl carrier component])C(=O)[C@H](CCCCNC(CCCC[C@@H]1(SSCC1))=O)N[[2-oxoglutarate dehydrogenase] lipoyl carrier component]
21S-rRNA-Uridines,C(OP(=O)([O-])O[a 21S rRNA])[C@H]2(O[C@@H](N1(\C=C/C(=O)NC(=O)1))[C@H](O)[C@H](OP(=O)(O[a 21S rRNA])[O-])2)
Dialkyl-phosphates,O(P(O)(=O)O[R2])[R1]
METHIONINE-SYNTHASE-METHYLCOBALAMIN,CC%12(\C=C%11(C(/N([C@H]%10(O[C@H](CO)[C@@H](OP([O-])(=O)O[C@H](C)CNC(=O)CC[C@]1(C)([C@@H](CC(N)=O)[C@@H]9([C@@]7(C)([C@@](C)(CC(N)=O)[C@H](CCC(=O)N)C8(\C(/C)=C5([C@](CC(=O)N)(C)[C@H](CCC(N)=O)C6(\C=C3(C(C)(C)[C@H](CCC(N)=O)C4(\C(/C)=C1/N([Co-3](C)([N+]2(\C(/C[C@@H](C([an <i>apo</i>-[methionine synthase]])=O)N[an <i>apo</i>-[methionine synthase]])=C/N/C=2))([N+]\3=4)([N+]5=6)[N+]\7=8)9)))))))))[C@@H](O)%10))\C=[NH+]/%11)=C\C(/C)=%12))
Medium-Chain-Carboxylates,C([O-])(=O)[R]
Phthiocerols,C([R2])CCCCCCCCCCCCCC[C@@H](O)C[C@H](O)CCCC[C@H](C)[C@H](OC)C[R1]
Carrageenoses,C(O)[C@H]6(O[C@@H](O[C@@H]5([C@@H]4(OC[C@H](O[C@H](O[C@@H]3([C@@H](O[R3])[C@H](O[C@@H]2([C@@H]1(OC[C@H](O[C@H](O[R2])[C@H](O[R3])1)2)))O[C@H](CO)[C@H](O[R3])3))[C@H](O[R3])4)5)))[C@H](O[R3])[C@@H](O[R1])[C@@H](O[R3])6)
4-Methoxyisoflavones,COC3(\C=C/C(/C1(/C(C2(\C(\O\C=1)=C/C=C\C=2))=O))=C\C=3)
Demethylmenaquinols,CC(/C[R])=C\CC1(/C=C(C2(\C(\C(\O)=1)=C/C=C\C=2))/O)
CPD-20303,CC(/C[R])=C\C=O
23S-rRNA-5-methyluracil747,CC1(\C(=O)NC(=O)N(\C=1)[C@@H]2(O[C@H](COP(=O)([O-])O[a 23S rRNA])[C@@H](OP(=O)(O[a 23S rRNA])[O-])[C@@H](O)2))
16S-rRNA-guanine-1405,C(OP(=O)([O-])O[a 16S rRNA])[C@H]3(O[C@@H](N1(C2(\N=C(N)/NC(=O)C(\N=C/1)=2)))[C@H](O)[C@H](OP(=O)(O[a 16S rRNA])[O-])3)
Cytidine-34-tRNAmet,C(OP(=O)([O-])O[elongator tRNA<sup>Met</sup>])[C@H]2(O[C@@H](N1(\C=C/C(/N)=N\C(=O)1))[C@H](O)[C@H](OP(=O)(O[elongator tRNA<sup>Met</sup>])[O-])2)
DNA-With-GO-A-Mismatch,C(OP(=O)([O-])O[a deoxyribonucleic acid])[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))C[C@H](OP(=O)(O[a deoxyribonucleic acid])[O-])3)
CPD-10464,CC(=O)N[C@@H]4([C@@H](O)C[C@](O[R2])(C(=O)[O-])O[C@@H]([C@H](O)[C@@H](CO)O[C@@]3(C[C@H](O)[C@@H](NC(=O)C)[C@H]([C@H](O)[C@@H](CO)O[C@@]2(C[C@H](O)[C@@H](NC(=O)C)[C@H]([C@H](O)[C@H](O[C@@]1(C[C@H](O)[C@@H](NC(=O)C)[C@H]([C@H](O)[C@H](O[R1])CO)O1)(C(=O)[O-]))CO)O2)(C(=O)[O-]))O3)(C(=O)[O-]))4)
Non-Acetylated-Acetyl-Acceptors,O[R]
Rhodoquinols,C([R])C(\C)=C/CC1(/C(\C)=C(C(\N)=C(C(/O)=1)\OC)/O)
16-alpha-D-Mannosyloligosaccharides,C([C@@H]1([C@H]([C@@H]([C@@H]([C@H](O1)OC[C@@H]4([C@@H](O)[C@@H]([C@@H]([C@@H](OC[C@@H]3([C@@H](O)[C@@H]([C@@H]([C@@H](OC[C@@H]2([C@@H](O)[C@@H]([C@@H]([C@@H](O[R])O2)O)O))O3)O)O))O4)O)O))O)O)O))O
17-Alpha-Hydroxysteroids,CC24(CCCCC(CCC1(C3(CC[C@@H](O)C(C)(CCC12)3)))4)
Beta-D-fucosides,C[C@@H]1([C@H](O)[C@H](O)[C@@H](O)[C@H](O[R])O1)
Aliphatic-Sulfonates,C([R])S(=O)(=O)[O-]
Beta-L-arabinosides,C1(O[C@H](O[R])[C@H](O)[C@@H](O)[C@@H](O)1)
EF-P-L-lysine,C([NH3+])CCC[C@@H](C(=O)[an elongation factor P])N[an elongation factor P]
N-Methyl-Ornithine-Lipid,C([R1])[C@@H](OC(C[R2])=O)CC(=O)N[C@H](C([O-])=O)CCC[NH2+]C
tRNA-pseudouridine-38-40,C2(\NC(=O)NC(=O)C(/[C@@H]1(O[C@H](COP(=O)([O-])O[a tRNA])[C@@H](OP(=O)(O[a tRNA])[O-])[C@@H](O)1))=2)
glycols,C([R4])([R3])(O)C([R2])([R1])O
Man7GlcNAc2-protein-A123B3,CC(N[C@H]9([C@H](NC(=O)C[C@H](N[a protein])C([a protein])=O)O[C@H](CO)[C@@H](O[C@H]8([C@H](NC(=O)C)[C@H]([C@H](O[C@H]1([C@@H](O)[C@H]([C@H](O)[C@H](O1)CO[C@@H]2([C@@H](O)[C@H]([C@H](O)[C@H](O2)CO[C@H]3(O[C@@H]([C@H]([C@@H]([C@@H]3O)O)O)CO))O[C@@H]4([C@@H](O)[C@H]([C@H](O)[C@@H](CO)O4)O)))O[C@@H]7([C@@H](O[C@@H]6([C@@H](O[C@@H]5([C@@H](O)[C@H]([C@H](O)[C@@H](CO)O5)O))[C@H]([C@H](O)[C@H](O6)CO)O))[C@@H](O)[C@@H]([C@H](O7)CO)O)))[C@@H](CO)O8)O))[C@H](O)9))=O
18S-rRNAs-Pseudouridines,C2(\NC(=O)NC(=O)C(/[C@@H]1(O[C@H](COP(=O)([O-])O[an 18S rRNA])[C@@H](OP(=O)(O[an 18S rRNA])[O-])[C@@H](O)1))=2)
Inositol-PhosphoManIno-PhosphoCera,C(OP(O[C@@H]3([C@H](O)[C@H](O)[C@@H](O)[C@H](O)[C@@H](OC2(O[C@H](COP(O[C@@H]1([C@H](O)[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)1))(=O)[O-])[C@@H](O)[C@H](O)[C@H](O)2))3))(=O)[O-])[C@H](NC([R2])=O)[C@H](O)[R1]
LYSOSOMAL-ENZYME-D-MANNOSE,CC(=O)N[C@H]%10(C(O[C@H](CO)[C@@H](O[C@H]9([C@H](NC(=O)C)[C@H]([C@H](O[C@H]1([C@@H](O)[C@H]([C@H](O)[C@H](O1)CO[C@@H]2([C@@H](O)[C@H]([C@H](O)[C@H](O2)CO[C@H]3(O[C@@H]([C@H]([C@@H]([C@@H]3O)O)O)CO))O[C@@H]5([C@@H](O[C@@H]4([C@H]([C@@H](O)[C@H](O)[C@@H](CO)O4)O))[C@H]([C@H](O)[C@@H](CO)O5)O)))O[C@@H]8([C@@H](O[C@@H]7([C@@H](O[C@@H]6([C@@H](O)[C@H]([C@H](O)[C@@H](CO)O6)O))[C@H]([C@H](O)[C@H](O7)CO)O))[C@@H](O)[C@@H]([C@H](O8)CO)O)))[C@@H](CO)O9)O))[C@H](O)%10)NC(=O)CC(N[a lysosomal protein])C([a lysosomal protein])=O)
Uracil16-in-tRNAs,C(OP(=O)([O-])O[a tRNA])[C@H]2(O[C@@H](N1(\C=C/C(=O)NC(=O)1))[C@H](O)[C@H](OP(=O)(O[a tRNA])[O-])2)
Cypemycin-N-Z-ethenethiol,CC(C)C[C@@H]1(NC(=O)[C@@H](N[cypemycin])CS\C=C/NC(=O)[C@H](NC(=O)1)C(C)C)
Man6GlcNAc2-protein-A12B1,CC(N[C@H]8([C@H](NC(=O)C[C@H](N[a protein])C([a protein])=O)O[C@H](CO)[C@@H](O[C@H]7([C@H](NC(=O)C)[C@H]([C@H](O[C@H]1([C@@H](O)[C@H]([C@H](O)[C@H](O1)CO[C@@H]2([C@@H](O)[C@H]([C@H](O)[C@H](O2)CO[C@H]3(O[C@@H]([C@H]([C@@H]([C@@H]3O[C@@H]4([C@H]([C@@H](O)[C@H](O)[C@@H](CO)O4)O))O)O)CO))O[C@@H]5([C@@H](O)[C@H]([C@H](O)[C@@H](CO)O5)O)))O[C@@H]6([C@@H](O)[C@@H](O)[C@@H]([C@H](O6)CO)O)))[C@@H](CO)O7)O))[C@H](O)8))=O
F-actin-L-methionine-47,CSCC[C@@H](C(=O)[a protein])N[a protein]
Alkyl-Thiols,S[R]
Lipid-hydroxy-fatty-acids,O[a glycerolipid]
Haloacetates,C(C([O-])=O)[X]
Flavonol-3-B-D-Xylosyl-12-B-D-Glycoside,C(O)C2(C(O)C(O)C(O[C@@H]1(OC[C@@H](O)[C@H](O)[C@@H](O)1))[C@@H](O2)OC4(\C(=O)C5(/C(\[R4])=C\C(/[R5])=C/C(/OC(\C3(/C=C([R3])\C(/[R2])=C([R1])/C=3))=4)=5)))
tRNA-with-uridine-54,C(OP(=O)([O-])O[a tRNA])[C@H]2(O[C@@H](N1(\C=C/C(=O)NC(=O)1))[C@H](O)[C@H](OP(=O)(O[a tRNA])[O-])2)
CPD-12642,C([R])C(=O)CC(=O)[O-]
CPD-427,C(=O)([R])N[C@H](C([O-])=O)CCC(=O)N
Odd-Saturated-Fatty-Acyl-CoA,C([R])CC(SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-])=O
tRNAPhe-Containing-wyosine-37,CC1(\N=C3(N(\C=1)C(=O)C4(\N=C/N([C@@H]2(O[C@H](COP(O[a tRNA<SUP>Phe</SUP>])(=O)[O-])[C@@H](OP([O-])(=O)O[a tRNA<SUP>Phe</SUP>])[C@@H](O)2))C(N(C)3)=4)))
CPD-16987,CC(=O)[C@H](O)/C=C/[R1]
4S-4-2prime-dihydroxyisoflavans,C2([R9])(OC3(\C(/[C@@H](O)C(C1(/C(\[R10])=C([R1])\C(/[R2])=C([R3])/C(/O)=1))2)=C([R5])/C(\[R6])=C([R7])\C(/[R8])=3))
EF-P-lysyl-lysine,C([NH3+])CC[C@@H]([NH3+])CC(=O)NCCC[C@@H](CC([an elongation factor P])=O)N[an elongation factor P]
Guanine37-in-tRNAPhe,C(OP(=O)([O-])O[a tRNA<SUP>Phe</SUP>])[C@H]3(O[C@@H](N1(C2(\N=C(N)/NC(=O)C(\N=C/1)=2)))[C@H](O)[C@H](OP(=O)(O[a tRNA<SUP>Phe</SUP>])[O-])3)
4-isopropenyl-7-methyloxepan-2-one,C=C(C)C1(CCC(C)OC(=O)C1)
O-acyltropines,C([R1])(=O)OC1(CC2(CCC(C1)N2C))
Protein-6-N-octanoyl-lysine,CCCCCCCC(=O)[NH2+]CCCC[C@H](N[a protein])C([a protein])=O
CPD-18602,C([C@H]1(O[C@@H]([C@@H]([C@H]([C@@H]1OC(=O)[R2])O)OC(=O)[R1])O[C@@H]2([C@@H]([C@H]([C@@H]([C@H](O2)COC(=O)[R5])O)OC(=O)[R4])OC(=O)[R3])))O
CPD-18867,C([R2])([R1])CC1(\C2(/C=C7(C(\C[R3])=C3(C4(\N([Mg]N6(C(\C=C(C(/C)=1)/N=2)=C(C(/C)=C(C(/C)=C5([C@@H](C)[C@H](CCC(=O)[O-])C(\C(/[CH-]C(=O)3)=4)=N5))/6)/C(O)C))7)))))
Heparan-GlcN-6-N-bisulfate,C(=O)([a protein])[C@@H](N[a protein])CO[C@@H]%10(OC[C@@H](O[C@@H]1(O[C@H](CO)[C@H](O)[C@@H]([C@@H](O)1)O[C@@H]9(O[C@H](CO)[C@H](O)[C@H](O[C@@H]8(O[C@H](C(=O)[O-])[C@@H](O[C@H]7(O[C@H](COS([O-])(=O)=O)[C@@H](O[C@H]6(O[C@@H](C(=O)[O-])[C@@H](O[C@H]5(O[C@H](COS([O-])(=O)=O)[C@@H](O[C@H]4(O[C@H](C(=O)[O-])[C@@H](O[C@H]3(O[C@H](COS([O-])(=O)=O)[C@@H](O[C@H]2(O[C@@H](C(=O)[O-])[C@@H](O[R])[C@H](O)[C@H]2O))[C@H](O)[C@H]3OS(=O)([O-])=O))[C@H](O)[C@H]4O))[C@H](O)[C@@H](OS(=O)([O-])=O)5))[C@H](O)[C@@H](O)6))[C@H](O)[C@@H](OS(=O)([O-])=O)7))[C@H](O)[C@@H](O)8))[C@@H](O)9)))[C@H](O)[C@@H](O)%10)
N-ACETYL-ETCETERA-GALACTOSAMINYL-R,CC(=O)N[C@H]4([C@H](OC[C@@H]3([C@H](O)[C@H](O[C@@H]2(O[C@H](CO)[C@H](O)[C@H](O[C@@H]1(O[C@H](CO)[C@@H](O)[C@H](O)[C@@H](NC(C)=O)1))[C@@H](O)2))[C@@H](NC(C)=O)[C@H](O3)OC([R])[C@@H](C(=O)[a protein])N[a protein]))O[C@H](CO)[C@@H](O)[C@H](O)4)
S-Alkyl-L-Cysteines,C(S[R])[C@H]([NH3+])C(=O)[O-]
HEME_D,C=CC3(\C7(\[N+]4(\[Fe]16([N+]5(\C(/[C@@]([C@@](C(\C=C2(C(/C)=C(C=C)/C(/N12)=C/C(/C(\C)=3)=4))=5)(C)O)(CCC(=O)[O-])O)=C/C8(/N6C(/C=7)=C(C)/C(\CCC(=O)[O-])=8))))))
Beta-D-Galactosides,C(O)[C@@H]1([C@H](O)[C@H](O)[C@@H](O)[C@@H](O1)O[R])
N-Substituted-Amino-Acids,C([R2])(N[R1])C(=O)[O-]
Ribosomal-protein-L3-L-glutamine,C(=O)([a ribosomal protein L3])[C@@H](N[a ribosomal protein L3])CCC(=O)N
Phosphatase-2A-leucine,CC(C)C[C@@H](C([O-])=O)N[a phosphatase-2A]
METHYLENE-THF-GLU-N,C3(NC4(/N=C(N)\NC(=O)C(/N2(CN(C1(\C=C/C(/C(=O)N[C@@H](CCC([R])=O)C([O-])=O)=C\C=1))C[C@@H]23))=4))
