fold,f1_score,precision_score,recall_score,wF1,wPrecision,wRecall,rep
0,0.13023598975979928,0.13605442176870747,0.13799130763416476,0.17509849529799656,0.19926374539840871,0.1745635910224439,0
1,0.08331620260754119,0.09051368578927632,0.08567679040119984,0.1276880729435474,0.1460085737458,0.12408759124087591,0
2,0.13675655000956205,0.1566265060240964,0.13841078600114745,0.1778016469745793,0.2247284878863826,0.16791979949874686,0
3,0.1034095238095238,0.11,0.107,0.15546289581822575,0.16983925549915396,0.1548223350253807,0
4,0.09218335428012846,0.10315860215053763,0.09106182795698926,0.137980163296619,0.16223628691983125,0.1291139240506329,0
0,0.12554463080778872,0.13670715249662618,0.12622903412377096,0.1605543710021322,0.19336650082918735,0.1517412935323383,1
1,0.09955421562564419,0.10813492063492064,0.1001984126984127,0.14213929530385225,0.16645569620253164,0.1341772151898734,1
2,0.08311223968594487,0.09438436729273382,0.08034528552456838,0.12922710622710626,0.14910714285714285,0.1225,1
3,0.11251167133520075,0.13333333333333333,0.10392156862745099,0.14413472706155633,0.18536585365853658,0.12682926829268293,1
4,0.1312234432234432,0.14004444444444442,0.13785714285714287,0.18699773508933815,0.20859485439638112,0.18829516539440203,1
0,0.10112917795844625,0.11720867208672087,0.09606078203639179,0.14383788254755997,0.1761786600496278,0.1315136476426799,2
1,0.15993898503779927,0.16910878976096366,0.167090156220591,0.19546857576054658,0.22005851002201368,0.19708029197080293,2
2,0.16401841815227644,0.17590926134233223,0.17191601049868765,0.22696951431128645,0.25706449668474984,0.22784810126582278,2
3,0.0999318142175285,0.10710978835978836,0.10227702191987907,0.14303661135344303,0.1545585808580858,0.1485148514851485,2
4,0.08385878628793608,0.0931174089068826,0.08342972816657028,0.12680420354838962,0.14987080103359174,0.11886304909560723,2
0,0.12196984126984126,0.13557777777777777,0.12266666666666666,0.17203020993343573,0.19692583402260821,0.1687344913151365,3
1,0.10628070406296213,0.11896121351766512,0.10603878648233488,0.15243738428923614,0.18116402116402114,0.145679012345679,3
2,0.1787690570299266,0.18814229249011855,0.1940052700922266,0.22684627200756233,0.25541770057899094,0.228287841191067,3
3,0.1655283627395181,0.17888446215139442,0.17164674634794155,0.20373295046661882,0.23902847571189278,0.1984924623115578,3
4,0.11281833246118961,0.12506613756613758,0.11517384731670445,0.16866913989676136,0.19450127877237852,0.16624040920716113,3
0,0.1003562054743157,0.10885826771653542,0.10793963254593175,0.14392342178601722,0.16636980491942321,0.14249363867684478,4
1,0.05897581254724112,0.0689484126984127,0.05654761904761905,0.10269919849127769,0.11819306930693069,0.09900990099009901,4
2,0.0833237712755785,0.10081538274309358,0.08032128514056225,0.121001221001221,0.16022533022533023,0.11538461538461539,4
3,0.07891786344167297,0.08921957671957673,0.08073507180650037,0.12265548071999684,0.15512820512820513,0.11662531017369727,4
4,0.06786945762849377,0.08045515394912985,0.06659973226238286,0.09959965508745997,0.1259349593495935,0.09268292682926829,4
