fold,f1_score,precision_score,recall_score,rep
0,0.3739397194284412,0.4087406015037594,0.3790279269602578,0
1,0.34345591751606785,0.3887218045112782,0.3291263873970641,0
2,0.35458293634103283,0.3914065751144403,0.35274656679151056,0
3,0.3766380236305048,0.4161296097386323,0.3726459004654494,0
4,0.330775012025012,0.3524621212121212,0.3434974747474747,0
0,0.30906489215039396,0.3407594264471588,0.31238272260577093,1
1,0.3237763183785911,0.3572390572390572,0.32045454545454544,1
2,0.3518554401573269,0.3911949685534591,0.3522911051212938,1
3,0.33190492713393477,0.3571882951653944,0.33460559796437656,1
4,0.3523922594818117,0.3874200426439232,0.35101279317697226,1
0,0.36206860054443696,0.39318463444857504,0.36917153478491765,2
1,0.3328875072296124,0.3579633607829097,0.3395363408521303,2
2,0.38135339483654085,0.4140538612448725,0.3889513108614232,2
3,0.3112681657964677,0.34113207547169816,0.3107187780772686,2
4,0.3594004165026892,0.3997790404040404,0.3572285353535354,2
0,0.35583712999443334,0.39877385411093275,0.3518994114499732,3
1,0.33617037423855606,0.3791756854256854,0.3336760461760461,3
2,0.40587317861753947,0.4325187969924812,0.42412280701754385,3
3,0.34172381871408847,0.38899331662489556,0.3357142857142857,3
4,0.3690595986822402,0.40720575022461813,0.368418688230009,3
0,0.3049102469857187,0.3484276729559748,0.2963791554357592,4
1,0.3480021440547756,0.38703902613677055,0.35315968492660216,4
2,0.32892648287385123,0.3525062656641603,0.3343984962406015,4
3,0.3933859746123897,0.4270613034763978,0.40229559748427673,4
4,0.3693838276552031,0.3949607600165221,0.3822800495662949,4
