fold,f1_score,precision_score,recall_score,rep
0,0.5627878804570533,0.5621195846759757,0.609514858575009,0
1,0.6010114572144647,0.6093358395989975,0.6239348370927318,0
2,0.6016470531011179,0.613337494798169,0.6341136079900125,0
3,0.6009129967776584,0.6131668456856426,0.6397869674185463,0
4,0.571684102934103,0.5699810606060607,0.6269570707070706,0
0,0.6335618532644555,0.6467162329615861,0.6815365551425031,1
1,0.5807162534435262,0.5966675685425685,0.6087752525252524,1
2,0.5899283525698621,0.6101257861635219,0.6214106019766397,1
3,0.5828865261117169,0.5991836301950806,0.6083333333333333,1
4,0.5630731209089418,0.5704246624022743,0.5988805970149254,1
0,0.5892356507598143,0.6093556381660472,0.6133474951318817,2
1,0.6183900796240468,0.6345059076262083,0.65265843179377,2
2,0.6197193983710837,0.6363920099875157,0.64812734082397,2
3,0.5618031653880711,0.5687421383647799,0.5973225516621742,2
4,0.5897244905767633,0.6048926767676768,0.6213699494949496,2
0,0.5686447135885339,0.5983413590155163,0.5903513465311218,3
1,0.5532980907980908,0.5968434343434343,0.5624639249639249,3
2,0.61281179138322,0.6073934837092732,0.6612155388471178,3
3,0.5902612320845403,0.61312656641604,0.6068609022556392,3
4,0.6021413596885294,0.6091823899371069,0.6432704402515723,3
0,0.5701976639712488,0.5953728661275831,0.5924797843665769,4
1,0.5567709859063242,0.5551065162907268,0.6058897243107769,4
2,0.5870569280343716,0.5854323308270678,0.6384711779448621,4
3,0.594472759944458,0.6257232704402516,0.6126415094339621,4
4,0.6345015476056368,0.6478108219743908,0.6729244114002477,4
