fold,f1_score,precision_score,recall_score,rep
0,0.4393017174972062,0.44177407805227353,0.4789026136770498,0
1,0.4837809746644332,0.4863826232247284,0.5187611886860007,0
2,0.4484420734585969,0.4506450270495214,0.4885143570536829,0
3,0.4378012129891829,0.45899122807017545,0.45745614035087717,0
4,0.5230631432837315,0.5200396825396826,0.5589646464646465,0
0,0.4992794483500803,0.5166445388564347,0.5351256859621172,1
1,0.46449314574314565,0.47591089466089465,0.49068362193362186,1
2,0.47855343817607965,0.4785414794848757,0.5290835579514824,1
3,0.4417333090997213,0.4452789894583788,0.47706288622319154,1
4,0.42687182220764314,0.4289001421464108,0.4707089552238806,1
0,0.4773322711984422,0.48800672685431046,0.5125420428394406,2
1,0.4508190118152524,0.4570593149540518,0.4908789831722163,2
2,0.4774299982165151,0.4800561797752809,0.5262796504369538,2
3,0.46621766074596266,0.4777583108715184,0.5006558849955075,2
4,0.4519117246389974,0.45278379028379023,0.49258207070707066,2
0,0.4416981063048479,0.4511146780809702,0.480613518815766,3
1,0.45935268435268434,0.4975919913419913,0.46700937950937954,3
2,0.5084610669197135,0.5035982814178303,0.5705155746509131,3
3,0.45511959169632754,0.47088554720133663,0.481704260651629,3
4,0.42250143985993044,0.43208745133273435,0.4521383647798741,3
0,0.42668595555388006,0.44628032345013474,0.45027852650494155,4
1,0.44559343121373196,0.4377879221864184,0.49235588972431066,4
2,0.4405107841198067,0.4528195488721805,0.46747225205871823,4
3,0.4873925236189387,0.4959748427672956,0.529182389937107,4
4,0.48123708613827965,0.4957514604354753,0.5167905824039652,4
