fold,f1_score,precision_score,recall_score,rep
0,0.09043550434527878,0.10025062656641603,0.09143394199785176,0
1,0.10031134279254579,0.10842731829573934,0.10566595059076263,0
2,0.18360977349741395,0.19580637839064804,0.19525593008739076,0
3,0.10434740697898592,0.11604010025062657,0.10870927318295738,0
4,0.09461880711880712,0.10227272727272728,0.1024621212121212,0
0,0.14334496564979837,0.15649109255057211,0.15695698353690918,1
1,0.11468691241418513,0.12833694083694083,0.11557539682539682,1
2,0.09020065887990415,0.10251572327044024,0.09250673854447439,1
3,0.12054437891643335,0.12501590330788803,0.13463286077789893,1
4,0.16363232538605674,0.17827529021558872,0.1650675195451315,1
0,0.11032157822011308,0.11745002209686226,0.12329615861214376,2
1,0.09263526782323775,0.10783208020050124,0.09413712853562478,2
2,0.09494404887663314,0.09960763331549849,0.09952737649366862,2
3,0.09130986414005281,0.09830188679245282,0.09415992812219227,2
4,0.08383838383838384,0.09217171717171718,0.0827020202020202,2
0,0.12305451518934664,0.12668539325842698,0.13095238095238096,3
1,0.08976393976393976,0.10277777777777777,0.08878968253968254,3
2,0.16630564506504356,0.1768886501969209,0.17720193340494092,3
3,0.14356399657151536,0.15370156159629844,0.15084586466165414,3
4,0.15009883198562446,0.15499850254567235,0.16109613656783467,3
0,0.15944018245905037,0.17597484276729558,0.16581311769991014,4
1,0.1028089704781434,0.11716791979949875,0.10060866451843896,4
2,0.09636591478696742,0.0990422484783387,0.10405477980665952,4
3,0.1106542514089684,0.11949685534591195,0.11084905660377359,4
4,0.09196742951389791,0.10508054522924411,0.08868826340945299,4
